Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Preparation Method,Wastage Food Amount
Meat,310,Corporate,450,Refrigerated,All Seasons,Buffet,25
Meat,400,Birthday,500,Room Temperature,Winter,Buffet,40
Vegetables,302,Birthday,371,Refrigerated,Summer,Buffet,27
Meat,491,Birthday,497,Refrigerated,All Seasons,Finger Food,32
Meat,300,Corporate,400,Refrigerated,Winter,Finger Food,25
Meat,302,Birthday,371,Refrigerated,Summer,Buffet,27
Meat,240,Wedding,450,Refrigerated,Winter,Sit-down Dinner,20
Meat,300,Wedding,400,Refrigerated,Summer,Finger Food,25
Fruits,320,Corporate,400,Refrigerated,All Seasons,Buffet,45
Meat,400,Corporate,500,Refrigerated,Winter,Finger Food,40
Fruits,320,Wedding,400,Room Temperature,Summer,Buffet,35
Meat,302,Birthday,371,Room Temperature,Winter,Buffet,27
Meat,400,Wedding,500,Refrigerated,Summer,Sit-down Dinner,25
Meat,250,Social Gathering,350,Room Temperature,Winter,Buffet,10
Fruits,267,Corporate,393,Refrigerated,Winter,Sit-down Dinner,24
Meat,350,Wedding,450,Refrigerated,Winter,Sit-down Dinner,40
Fruits,300,Birthday,400,Room Temperature,Winter,Finger Food,20
Fruits,380,Wedding,500,Room Temperature,Winter,Sit-down Dinner,35
Fruits,300,Birthday,450,Refrigerated,All Seasons,Finger Food,25
Meat,220,Social Gathering,300,Room Temperature,Winter,Buffet,10
Meat,220,Corporate,450,Room Temperature,Winter,Finger Food,30
Vegetables,220,Corporate,300,Refrigerated,Winter,Finger Food,15
Meat,350,Corporate,450,Refrigerated,Summer,Sit-down Dinner,35
Fruits,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,40
Meat,320,Wedding,400,Refrigerated,Winter,Finger Food,25
Fruits,400,Wedding,500,Refrigerated,All Seasons,Finger Food,40
Baked Goods,320,Corporate,400,Room Temperature,Summer,Buffet,35
Meat,400,Birthday,500,Room Temperature,Winter,Finger Food,40
Meat,208,Wedding,282,Refrigerated,Summer,Sit-down Dinner,22
Meat,280,Birthday,350,Room Temperature,Winter,Finger Food,20
Meat,380,Corporate,400,Refrigerated,Winter,Finger Food,25
Meat,438,Corporate,493,Refrigerated,Summer,Sit-down Dinner,35
Fruits,350,Corporate,450,Refrigerated,All Seasons,Finger Food,20
Meat,220,Corporate,300,Refrigerated,Winter,Finger Food,15
Fruits,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Vegetables,280,Social Gathering,350,Room Temperature,Summer,Buffet,20
Meat,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Fruits,491,Wedding,497,Room Temperature,All Seasons,Finger Food,32
Fruits,400,Birthday,500,Room Temperature,Winter,Sit-down Dinner,50
Meat,250,Birthday,350,Refrigerated,Winter,Sit-down Dinner,20
Meat,300,Corporate,400,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,439,Corporate,459,Room Temperature,Summer,Buffet,39
Fruits,240,Corporate,450,Room Temperature,Winter,Sit-down Dinner,20
Baked Goods,300,Birthday,400,Room Temperature,Summer,Finger Food,20
Fruits,280,Corporate,350,Refrigerated,Summer,Finger Food,20
Fruits,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,40
Meat,400,Social Gathering,450,Refrigerated,All Seasons,Buffet,30
Fruits,434,Birthday,495,Room Temperature,Summer,Sit-down Dinner,36
Fruits,300,Corporate,400,Refrigerated,All Seasons,Finger Food,15
Fruits,290,Social Gathering,374,Room Temperature,Winter,Finger Food,27
Dairy Products,300,Birthday,400,Room Temperature,Winter,Finger Food,20
Meat,320,Social Gathering,400,Refrigerated,Summer,Sit-down Dinner,40
Baked Goods,320,Birthday,400,Room Temperature,Summer,Finger Food,20
Meat,400,Social Gathering,500,Refrigerated,Summer,Sit-down Dinner,45
Vegetables,280,Birthday,350,Refrigerated,All Seasons,Finger Food,20
Baked Goods,380,Corporate,500,Room Temperature,Winter,Sit-down Dinner,35
Meat,380,Birthday,480,Refrigerated,Summer,Buffet,30
Meat,400,Wedding,500,Refrigerated,Summer,Sit-down Dinner,50
Meat,320,Birthday,400,Refrigerated,All Seasons,Buffet,30
Vegetables,280,Wedding,350,Refrigerated,Winter,Finger Food,15
Vegetables,320,Birthday,400,Refrigerated,Summer,Sit-down Dinner,40
Fruits,250,Social Gathering,350,Room Temperature,All Seasons,Buffet,10
Vegetables,350,Corporate,450,Refrigerated,Winter,Sit-down Dinner,35
Meat,250,Wedding,350,Refrigerated,All Seasons,Sit-down Dinner,40
Vegetables,280,Corporate,350,Refrigerated,Summer,Finger Food,20
Baked Goods,450,Birthday,500,Room Temperature,All Seasons,Finger Food,30
Dairy Products,250,Social Gathering,350,Room Temperature,Summer,Buffet,10
Fruits,230,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,30
Baked Goods,320,Birthday,400,Room Temperature,Summer,Finger Food,25
Baked Goods,442,Wedding,482,Room Temperature,All Seasons,Sit-down Dinner,32
Baked Goods,250,Birthday,350,Room Temperature,Winter,Finger Food,35
Vegetables,310,Social Gathering,350,Refrigerated,Winter,Finger Food,35
Fruits,320,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Dairy Products,350,Corporate,450,Room Temperature,Summer,Finger Food,30
Meat,400,Social Gathering,500,Refrigerated,Summer,Sit-down Dinner,50
Fruits,320,Corporate,400,Room Temperature,All Seasons,Finger Food,35
Vegetables,350,Wedding,450,Refrigerated,Winter,Sit-down Dinner,35
Meat,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Meat,350,Social Gathering,450,Refrigerated,All Seasons,Finger Food,40
Baked Goods,302,Social Gathering,371,Room Temperature,Summer,Buffet,27
Fruits,438,Corporate,493,Refrigerated,All Seasons,Sit-down Dinner,35
Baked Goods,310,Corporate,350,Room Temperature,All Seasons,Finger Food,35
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,Buffet,40
Fruits,300,Birthday,400,Room Temperature,All Seasons,Finger Food,15
Baked Goods,280,Birthday,350,Room Temperature,Summer,Finger Food,20
Dairy Products,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,25
Vegetables,250,Corporate,350,Room Temperature,Winter,Sit-down Dinner,20
Fruits,350,Corporate,450,Room Temperature,All Seasons,Sit-down Dinner,45
Dairy Products,300,Corporate,400,Room Temperature,Winter,Sit-down Dinner,40
Fruits,350,Corporate,450,Refrigerated,All Seasons,Sit-down Dinner,25
Baked Goods,380,Corporate,500,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,250,Corporate,480,Room Temperature,All Seasons,Finger Food,20
Dairy Products,300,Social Gathering,400,Room Temperature,Summer,Buffet,30
Fruits,250,Wedding,350,Refrigerated,All Seasons,Sit-down Dinner,20
Fruits,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,300,Corporate,400,Room Temperature,Summer,Finger Food,25
Meat,300,Social Gathering,400,Refrigerated,All Seasons,Sit-down Dinner,40
Fruits,350,Social Gathering,450,Room Temperature,Summer,Sit-down Dinner,45
Dairy Products,280,Corporate,350,Refrigerated,Summer,Finger Food,20
Fruits,380,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,240,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,20
Baked Goods,397,Wedding,482,Room Temperature,All Seasons,Sit-down Dinner,31
Baked Goods,320,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,Finger Food,25
Vegetables,400,Social Gathering,500,Refrigerated,Summer,Sit-down Dinner,30
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,350,Corporate,450,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,300,Social Gathering,400,Room Temperature,Winter,Finger Food,15
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,250,Social Gathering,350,Room Temperature,Summer,Buffet,20
Baked Goods,250,Birthday,350,Room Temperature,Winter,Sit-down Dinner,20
Vegetables,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,40
